method,case_key,center_id,H,K,budget_tier,test_wmse,test_mae,test_worst10
common12_sgd_mse50_valbest,c1101_h4_k10_bmedium,1101,4,10,medium,0.003320269985124469,0.04718264564871788,0.01242320891469717
common12_sgd_mse50_valbest,c1101_h4_k20_bmedium,1101,4,20,medium,0.003506638342514634,0.04835786670446396,0.012747087515890598
common12_sgd_mse50_valbest,c1102_h1_k10_btight,1102,1,10,tight,0.00837663747370243,0.0735296756029129,0.03354492038488388
common12_sgd_mse50_valbest,c1102_h1_k20_btight,1102,1,20,tight,0.005008258391171694,0.05468115210533142,0.02235662378370762
common12_sgd_mse50_valbest,c1102_h4_k10_btight,1102,4,10,tight,0.012717870064079762,0.09125858545303345,0.04676424339413643
common12_sgd_mse50_valbest,c1102_h4_k20_btight,1102,4,20,tight,0.008193641901016235,0.07053587585687637,0.03322463110089302
common12_sgd_mse50_valbest,c1103_h1_k10_bmedium,1103,1,10,medium,0.0017619997961446643,0.03366343677043915,0.00769828911870718
common12_sgd_mse50_valbest,c1103_h1_k20_bmedium,1103,1,20,medium,0.001650103717111051,0.033403679728507996,0.006706540007144213
common12_sgd_mse50_valbest,c1103_h4_k10_bmedium,1103,4,10,medium,0.0025669049937278032,0.040888711810112,0.009902079589664936
common12_sgd_mse50_valbest,c1103_h4_k20_bmedium,1103,4,20,medium,0.0021005820017307997,0.037597909569740295,0.007821561768651009
common12_sgd_mse50_valbest,c1104_h1_k10_bloose,1104,1,10,loose,0.001929895137436688,0.03627066686749458,0.007702436298131943
common12_sgd_mse50_valbest,c1104_h1_k20_bloose,1104,1,20,loose,0.0019511050777509809,0.03442177176475525,0.009903681464493275
common12_sgd_mse50_valbest,c1104_h4_k10_bloose,1104,4,10,loose,0.003264520550146699,0.044580161571502686,0.014817086979746819
common12_sgd_mse50_valbest,c1104_h4_k20_bloose,1104,4,20,loose,0.0029835838358849287,0.04410279169678688,0.011809888295829296
common12_sgd_mse50_valbest,c1105_h1_k10_btight,1105,1,10,tight,0.0033284772653132677,0.04652545601129532,0.013627025298774242
common12_sgd_mse50_valbest,c1105_h1_k20_btight,1105,1,20,tight,0.005572191905230284,0.06219867989420891,0.01976659893989563
common12_sgd_mse50_valbest,c1105_h4_k10_btight,1105,4,10,tight,0.004923225846141577,0.05698045343160629,0.0170632004737854
common12_sgd_mse50_valbest,c1105_h4_k20_btight,1105,4,20,tight,0.0058470601215958595,0.0628582015633583,0.020426930859684944
common12_sgd_mse50_valbest,c1106_h1_k10_btight,1106,1,10,tight,0.006175498012453318,0.06379053741693497,0.02425285428762436
common12_sgd_mse50_valbest,c1106_h1_k20_btight,1106,1,20,tight,0.007150700315833092,0.06873572617769241,0.027804335579276085
common12_sgd_mse50_valbest,c1106_h4_k10_btight,1106,4,10,tight,0.014300638809800148,0.09993009269237518,0.04075450822710991
common12_sgd_mse50_valbest,c1106_h4_k20_btight,1106,4,20,tight,0.010694155469536781,0.08388039469718933,0.0348488874733448
common12_sgd_mse50_valbest,c1107_h1_k10_bmedium,1107,1,10,medium,0.006006929557770491,0.06207551062107086,0.0258176252245903
common12_sgd_mse50_valbest,c1107_h1_k20_bmedium,1107,1,20,medium,0.0057863579131662846,0.0605258047580719,0.02590528503060341
common12_sgd_mse50_valbest,c1107_h4_k10_bmedium,1107,4,10,medium,0.007851539179682732,0.07007785886526108,0.030882421880960464
common12_sgd_mse50_valbest,c1107_h4_k20_bmedium,1107,4,20,medium,0.0072596268728375435,0.0672835111618042,0.02813393995165825
common12_sgd_mse50_valbest,c1108_h1_k10_btight,1108,1,10,tight,0.004106632433831692,0.0520232655107975,0.017186053097248077
common12_sgd_mse50_valbest,c1108_h1_k20_btight,1108,1,20,tight,0.003323181066662073,0.04595766216516495,0.014539146795868874
common12_sgd_mse50_valbest,c1108_h4_k10_btight,1108,4,10,tight,0.005155735183507204,0.05794462934136391,0.019858241081237793
common12_sgd_mse50_valbest,c1108_h4_k20_btight,1108,4,20,tight,0.005563236307352781,0.06171955540776253,0.020620549097657204
common12_sgd_mse50_valbest,c1109_h1_k10_bmedium,1109,1,10,medium,0.010609667748212814,0.08391117304563522,0.04352866858243942
common12_sgd_mse50_valbest,c1109_h1_k20_bmedium,1109,1,20,medium,0.008863458409905434,0.0758066177368164,0.037830594927072525
common12_sgd_mse50_valbest,c1109_h4_k10_bmedium,1109,4,10,medium,0.011109823361039162,0.08550669997930527,0.036242540925741196
common12_sgd_mse50_valbest,c1109_h4_k20_bmedium,1109,4,20,medium,0.014850788749754429,0.09834703058004379,0.053747113794088364
common12_sgd_mse50_valbest,c1110_h1_k10_btight,1110,1,10,tight,0.002555804094299674,0.04085917770862579,0.010412534698843956
common12_sgd_mse50_valbest,c1110_h1_k20_btight,1110,1,20,tight,0.002627066569402814,0.04165548458695412,0.01050135213881731
common12_sgd_mse50_valbest,c1110_h4_k10_btight,1110,4,10,tight,0.0030200104229152203,0.04411426559090614,0.011392920278012753
common12_sgd_mse50_valbest,c1110_h4_k20_btight,1110,4,20,tight,0.0030914682429283857,0.044710904359817505,0.012056589126586914
common12_sgd_mse50_valbest,c1111_h1_k10_bloose,1111,1,10,loose,0.001832084613852203,0.03414138779044151,0.008367577567696571
