group,case_key,source_seed,proposed_mse,matched_reference_mse,gain_percent
Source seed 2906,seed2906_c1062_h1_k10_btight,2906,0.0030851452611386776,0.0030851452611386776,0
Source seed 2906,seed2906_c1062_h1_k20_btight,2906,0.0023993276990950108,0.0023993276990950108,0
Source seed 2906,seed2906_c1062_h4_k10_btight,2906,0.005456150509417057,0.005456150509417057,0
Source seed 2906,seed2906_c1062_h4_k20_btight,2906,0.0042347349226474762,0.0042347349226474762,0
Source seed 2906,seed2906_c1063_h1_k10_bloose,2906,0.010226408019661903,0.010226408019661903,0
Source seed 2906,seed2906_c1063_h1_k20_bloose,2906,0.005610072985291481,0.005610072985291481,0
Source seed 2906,seed2906_c1063_h4_k10_bloose,2906,0.01446231547743082,0.01807372085750103,19.981526817547309
Source seed 2906,seed2906_c1063_h4_k20_bloose,2906,0.0089688636362552643,0.0089688636362552643,0
Source seed 2906,seed2906_c1064_h1_k10_bmedium,2906,0.00058288598665967584,0.0010239494731649756,43.07473152381192
Source seed 2906,seed2906_c1064_h1_k20_bmedium,2906,0.00068444001954048872,0.00068444001954048872,0
Source seed 2906,seed2906_c1064_h4_k10_bmedium,2906,0.00061866431497037411,0.0019695989321917295,68.589325224606156
Source seed 2906,seed2906_c1064_h4_k20_bmedium,2906,0.00057118060067296028,0.0010530733270570636,45.760605078737377
Source seed 2906,seed2906_c1065_h1_k10_bmedium,2906,0.0027092949021607637,0.0037038021255284548,26.850981495826961
Source seed 2906,seed2906_c1065_h1_k20_bmedium,2906,0.0029828799888491631,0.0042594266124069691,29.969917073801618
Source seed 2906,seed2906_c1065_h4_k10_bmedium,2906,0.0045256731100380421,0.0045256731100380421,0
Source seed 2906,seed2906_c1065_h4_k20_bmedium,2906,0.0053036203607916832,0.0053036203607916832,0
Source seed 2906,seed2906_c1066_h1_k10_btight,2906,0.00081476906780153513,0.00081476906780153513,0
Source seed 2906,seed2906_c1066_h1_k20_btight,2906,0.00075484038097783923,0.00075484038097783923,0
Source seed 2906,seed2906_c1066_h4_k10_btight,2906,0.001174199627712369,0.001174199627712369,0
Source seed 2906,seed2906_c1066_h4_k20_btight,2906,0.0011749995173886418,0.0011749995173886418,0
Source seed 2906,seed2906_c1067_h1_k10_bmedium,2906,0.00048881361726671457,0.0013856273144483566,64.72257639772927
Source seed 2906,seed2906_c1067_h1_k20_bmedium,2906,0.00053146487334743142,0.00087429303675889969,39.212043216353401
Source seed 2906,seed2906_c1067_h4_k10_bmedium,2906,0.00064061896409839392,0.0014796111499890685,56.703559303190787
Source seed 2906,seed2906_c1067_h4_k20_bmedium,2906,0.0006538302986882627,0.0011603294406086206,43.651322132676988
Source seed 2906,seed2906_c1068_h1_k10_btight,2906,0.008395051583647728,0.008395051583647728,0
Source seed 2906,seed2906_c1068_h1_k20_btight,2906,0.0089175580069422722,0.0089175580069422722,0
Source seed 2906,seed2906_c1068_h4_k10_btight,2906,0.011450492776930332,0.011450492776930332,0
Source seed 2906,seed2906_c1068_h4_k20_btight,2906,0.012411936186254025,0.012411936186254025,0
Source seed 2906,seed2906_c1069_h1_k10_bloose,2906,0.0063320505432784557,0.0063320505432784557,0
Source seed 2906,seed2906_c1069_h1_k20_bloose,2906,0.003882839810103178,0.003882839810103178,0
Source seed 2906,seed2906_c1069_h4_k10_bloose,2906,0.0059590241871774197,0.0080019617453217506,25.53045894450457
Source seed 2906,seed2906_c1069_h4_k20_bloose,2906,0.0055413516238331795,0.0055413516238331795,0
Source seed 2906,seed2906_c1070_h1_k10_bloose,2906,0.0041055777110159397,0.0041055777110159397,0
Source seed 2906,seed2906_c1070_h1_k20_bloose,2906,0.0032569479662925005,0.0058272155001759529,44.107988348909409
Source seed 2906,seed2906_c1070_h4_k10_bloose,2906,0.0033359825611114502,0.0059022624045610428,43.479595916753375
Source seed 2906,seed2906_c1070_h4_k20_bloose,2906,0.0032416819594800472,0.0080213146284222603,59.586649948954005
Source seed 2906,seed2906_c1071_h1_k10_btight,2906,0.0053508095443248749,0.0061444994062185287,12.91707931634596
Source seed 2906,seed2906_c1071_h1_k20_btight,2906,0.0047609405592083931,0.0056361076422035694,15.527863173546647
Source seed 2906,seed2906_c1071_h4_k10_btight,2906,0.0086173247545957565,0.0086173247545957565,0
Source seed 2906,seed2906_c1071_h4_k20_btight,2906,0.0072528696618974209,0.0072528696618974209,0
Source seed 2906,seed2906_c1072_h1_k10_bmedium,2906,0.0035977615043520927,0.0035977615043520927,0
Source seed 2906,seed2906_c1072_h1_k20_bmedium,2906,0.001966661773622036,0.001966661773622036,0
Source seed 2906,seed2906_c1072_h4_k10_bmedium,2906,0.0041318465955555439,0.0068298992700874805,39.503550020839164
Source seed 2906,seed2906_c1072_h4_k20_bmedium,2906,0.0026442187372595072,0.003750466275960207,29.496266791986407
Source seed 2906,seed2906_c1073_h1_k10_bmedium,2906,0.0060935430228710175,0.0057466905564069748,-6.0356906824805012
Source seed 2906,seed2906_c1073_h1_k20_bmedium,2906,0.0063171503134071827,0.0063171503134071827,0
Source seed 2906,seed2906_c1073_h4_k10_bmedium,2906,0.0068847937509417534,0.0072592138312757015,5.157859914813244
Source seed 2906,seed2906_c1073_h4_k20_bmedium,2906,0.0070083453319966793,0.0070083453319966793,0
Source seed 2906,seed2906_c1074_h1_k10_btight,2906,0.0019282246939837933,0.0022531927097588778,14.422557572088918
Source seed 2906,seed2906_c1074_h1_k20_btight,2906,0.0024359156377613544,0.0024359156377613544,0
Source seed 2906,seed2906_c1074_h4_k10_btight,2906,0.0034741936251521111,0.0034741936251521111,0
Source seed 2906,seed2906_c1074_h4_k20_btight,2906,0.0028274122159928083,0.0032650062348693609,13.40254772573387
Source seed 2906,seed2906_c1075_h1_k10_bmedium,2906,0.00097071600612252951,0.00097071600612252951,0
Source seed 2906,seed2906_c1075_h1_k20_bmedium,2906,0.00088948494521901011,0.00088948494521901011,0
Source seed 2906,seed2906_c1075_h4_k10_bmedium,2906,0.0021777967922389507,0.0021777967922389507,0
Source seed 2906,seed2906_c1075_h4_k20_bmedium,2906,0.0013194946805015206,0.0015074741095304489,12.469828028255854
Source seed 2906,seed2906_c1076_h1_k10_bloose,2906,0.0010640057735145092,0.0012172332499176264,12.588177032913496
Source seed 2906,seed2906_c1076_h1_k20_bloose,2906,0.00091421895194798708,0.00091421895194798708,0
Source seed 2906,seed2906_c1076_h4_k10_bloose,2906,0.0010101811494678259,0.0019506582757458091,48.213320496559241
Source seed 2906,seed2906_c1076_h4_k20_bloose,2906,0.0010649663163349032,0.0015458361012861133,31.107423649320477
Source seed 2906,seed2906_c1077_h1_k10_bmedium,2906,0.015719156712293625,0.013209234923124313,-19.001265431167397
Source seed 2906,seed2906_c1077_h1_k20_bmedium,2906,0.0097398515790700912,0.0090800290927290916,-7.2667441877400805
Source seed 2906,seed2906_c1077_h4_k10_bmedium,2906,0.011882053688168526,0.017638774588704109,32.63673942645763
Source seed 2906,seed2906_c1077_h4_k20_bmedium,2906,0.012358007021248341,0.012761058285832405,3.1584470155703346
Source seed 2906,seed2906_c1078_h1_k10_btight,2906,0.0070636090822517872,0.0070636090822517872,0
Source seed 2906,seed2906_c1078_h1_k20_btight,2906,0.0064369039610028267,0.0064369039610028267,0
Source seed 2906,seed2906_c1078_h4_k10_btight,2906,0.0083301179111003876,0.0083301179111003876,0
Source seed 2906,seed2906_c1078_h4_k20_btight,2906,0.0079973805695772171,0.0079973805695772171,0
Source seed 2906,seed2906_c1079_h1_k10_bmedium,2906,0.0083696385845541954,0.012060588225722313,30.603396551556383
Source seed 2906,seed2906_c1079_h1_k20_bmedium,2906,0.007149779237806797,0.0089559582993388176,20.167345594556458
Source seed 2906,seed2906_c1079_h4_k10_bmedium,2906,0.014102913439273834,0.014102913439273834,0
Source seed 2906,seed2906_c1079_h4_k20_bmedium,2906,0.0092638852074742317,0.0092638852074742317,0
Alibaba,014754e355434c00ffd97e74f31810bb13100105b7f3d3e55258a801d920fcfe,,0.00037735904334113002,0.00066863943357020617,43.563148627621608
Alibaba,014754e355434c00ffd97e74f31810bb13100105b7f3d3e55258a801d920fcfe,,0.00030771986348554492,0.00041925322148017585,26.602862489848448
Alibaba,014754e355434c00ffd97e74f31810bb13100105b7f3d3e55258a801d920fcfe,,0.00065668404567986727,0.0006928481743671,5.2196325291998908
Alibaba,014754e355434c00ffd97e74f31810bb13100105b7f3d3e55258a801d920fcfe,,0.00062336551491171122,0.00062336551491171122,0
Alibaba,014f2d10249e555e40f00359e742e1e2d64c32405ae114515dab68edd836ea5e,,0.00037230103043839335,0.00040526501834392548,8.1339337010226362
Alibaba,014f2d10249e555e40f00359e742e1e2d64c32405ae114515dab68edd836ea5e,,0.00036699100746773183,0.00040808325866237283,10.069575343358698
Alibaba,014f2d10249e555e40f00359e742e1e2d64c32405ae114515dab68edd836ea5e,,0.00067530793603509665,0.00084293034160509706,19.885677059721921
Alibaba,014f2d10249e555e40f00359e742e1e2d64c32405ae114515dab68edd836ea5e,,0.00063678564038127661,0.00064160791225731373,0.75159170950235599
Alibaba,0168f9f3fd763f75382f917bedf1a94ca737bedda0713e15445f5ad1d64d3510,,0.0046043070033192635,0.0046043070033192635,0
